大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
082300001000,粟田,36.203224,140.236550,1,1
082300002000,安食,36.119021,140.346352,1,1
082300003000,一の瀬,36.076799,140.342401,1,1
082300004000,一の瀬上流,36.100963,140.301114,1,1
082300005001,稲吉一丁目,36.121988,140.251639,1,3
082300005002,稲吉二丁目,36.123008,140.247975,1,3
082300005003,稲吉三丁目,36.125923,140.245393,1,3
082300005004,稲吉四丁目,36.128239,140.244902,1,3
082300005005,稲吉五丁目,36.130156,140.243806,1,3
082300006001,稲吉東一丁目,36.125145,140.252691,1,3
082300006002,稲吉東二丁目,36.128715,140.256793,1,3
082300006003,稲吉東三丁目,36.128593,140.253876,1,3
082300006004,稲吉東四丁目,36.127132,140.250535,1,3
082300006005,稲吉東五丁目,36.128935,140.249092,1,3
082300006006,稲吉東六丁目,36.130829,140.247777,1,3
082300007001,稲吉南一丁目,36.124718,140.242211,1,3
082300007002,稲吉南二丁目,36.125155,140.238772,1,3
082300007003,稲吉南三丁目,36.128825,140.239902,1,3
082300008000,横堀,36.169894,140.232005,1,1
082300009000,下稲吉,36.132707,140.233220,1,1
082300010000,下軽部,36.107298,140.347059,1,1
082300011000,下佐谷,36.151187,140.207693,1,1
082300012000,下志筑,36.179425,140.247416,1,1
082300013000,下大堤,36.091163,140.337739,1,1
082300014000,下土田,36.160354,140.250128,1,1
082300015000,加茂,36.080855,140.286848,1,1
082300016000,岩坪,36.100217,140.356354,1,1
082300017000,牛渡,36.076087,140.320873,1,1
082300018000,戸崎,36.076942,140.273225,1,1
082300019000,五反田,36.177302,140.223871,1,1
082300020000,高倉,36.203033,140.220269,1,1
082300021000,坂,36.076817,140.363821,1,1
082300022000,三ツ木,36.107534,140.295160,1,1
082300023000,山本,36.157715,140.206935,1,1
082300024000,市川,36.175292,140.253136,1,1
082300025000,志戸崎,36.067501,140.370407,1,1
082300026000,宍倉,36.125292,140.275539,1,1
082300027000,上稲吉,36.139140,140.212457,1,1
082300028000,上軽部,36.112411,140.328167,1,1
082300029000,上佐谷,36.167450,140.208890,1,1
082300030000,上志筑,36.187994,140.216734,1,1
082300031000,上大堤,36.110136,140.288199,1,1
082300032000,上土田,36.160144,140.240283,1,1
082300033000,新治,36.145375,140.253569,1,1
082300034000,深谷,36.098056,140.282945,1,1
082300035000,西成井,36.109712,140.320741,1,1
082300036000,西野寺,36.167104,140.257125,1,1
082300037000,雪入,36.173748,140.192374,1,1
082300038000,大峰,36.169737,140.221039,1,1
082300039000,大和田,36.093593,140.322924,1,1
082300040000,男神,36.082363,140.339213,1,1
082300041000,中佐谷,36.145938,140.214361,1,1
082300042000,中志筑,36.188365,140.229445,1,1
082300043000,中台,36.080004,140.348726,1,1
082300044000,田伏,36.089818,140.378424,1,1
082300045000,東野寺,36.163151,140.265880,1,1
082300046000,南根本,36.100660,140.307668,1,1
082300047000,柏崎,36.104194,140.377410,1,1
082300048000,飯田,36.163212,140.227662,1,1
082300049000,有河,36.066308,140.357126,1,1
